연도,순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,POS_EN
2025,31,김호령,KIA,중견수,104,94,852.6666666666666,6,0,218,7,1,0.974,0,0,0,,CF
2025,31,김건희,키움,포수,104,85,731.0,5,2,532,64,7,0.992,11,54,28,34.1,C
2025,33,권희동,NC,좌익수,103,82,669.3333333333334,1,0,135,7,0,0.993,0,0,0,,LF
2025,34,조형우,SSG,포수,102,80,696.3333333333334,4,5,659,60,7,0.994,3,56,22,28.2,C
2025,35,박민우,NC,2루수,100,96,766.3333333333334,10,0,205,259,58,0.979,0,0,0,,2B
2025,36,구자욱,삼성,좌익수,99,95,791.3333333333334,3,0,162,1,0,0.982,0,0,0,,LF
2025,36,김상수,KT,2루수,99,90,742.3333333333334,6,0,167,268,45,0.986,0,0,0,,2B
2025,38,레이예스,롯데,좌익수,98,88,752.6666666666666,1,0,146,3,1,0.993,0,0,0,,LF
2025,38,유강남,롯데,포수,98,92,641.3333333333334,2,0,588,47,3,0.997,5,66,6,8.3,C
2025,38,이재원,한화,포수,98,35,409.6666666666667,6,0,406,33,4,0.987,2,35,8,18.6,C
2025,41,최주환,키움,1루수,97,95,819.3333333333334,6,0,698,47,67,0.992,0,0,0,,1B
2025,42,오스틴,LG,1루수,96,94,793.0,8,0,723,61,66,0.99,0,0,0,,1B
2025,43,김태군,KIA,포수,95,79,656.3333333333334,7,2,554,70,7,0.989,3,62,21,25.3,C
2025,43,문보경,LG,3루수,95,91,753.6666666666666,14,0,48,153,13,0.935,0,0,0,,3B
2025,45,양의지,두산,포수,94,92,726.0,5,2,636,49,5,0.993,6,49,17,25.8,C
2025,45,나승엽,롯데,1루수,94,91,738.3333333333334,8,0,667,44,54,0.989,0,0,0,,1B
2025,45,이진영,한화,우익수,94,81,642.3333333333334,2,0,127,3,0,0.985,0,0,0,,RF
2025,48,한준수,KIA,포수,93,57,525.3333333333334,3,0,452,36,5,0.994,5,44,12,21.4,C
2025,48,안현민,KT,우익수,93,84,699.6666666666666,7,0,149,14,1,0.959,0,0,0,,RF
2025,48,전민재,롯데,유격수,93,87,726.6666666666666,15,0,116,209,50,0.956,0,0,0,,SS
2025,48,정보근,롯데,포수,93,34,397.0,2,0,374,21,1,0.995,6,28,5,15.2,C
2025,52,배정대,KT,중견수,92,64,617.3333333333334,1,0,156,2,1,0.994,0,0,0,,CF
2025,53,심우준,한화,유격수,91,81,685.0,7,0,140,201,40,0.98,0,0,0,,SS
2025,54,김민혁,KT,좌익수,90,83,662.6666666666666,1,0,127,1,0,0.992,0,0,0,,LF
2025,55,위즈덤,KIA,1루수,88,60,552.0,4,0,536,28,48,0.993,0,0,0,,1B
2025,55,김기연,두산,포수,88,48,492.3333333333333,4,1,402,22,4,0.991,4,47,11,19.0,C
2025,57,데이비슨,NC,1루수,87,87,660.3333333333334,2,0,572,46,53,0.997,0,0,0,,1B
2025,58,에레디아,SSG,좌익수,86,86,740.6666666666666,2,0,194,6,0,0.99,0,0,0,,LF
2025,59,윤동희,롯데,우익수,85,73,646.6666666666666,3,0,130,2,0,0.978,0,0,0,,RF
2025,60,장두성,롯데,중견수,82,46,467.3333333333333,2,0,135,2,0,0.986,0,0,0,,CF
2025,60,정현수,롯데,투수,82,0,47.66666666666666,0,0,3,4,0,1.0,0,0,0,,P
2025,62,한유섬,SSG,우익수,81,79,642.0,2,0,122,3,1,0.984,0,0,0,,RF
2025,63,문성주,LG,우익수,80,76,644.3333333333334,1,0,144,4,0,0.993,0,0,0,,RF
2025,63,최원준,NC,중견수,80,71,611.6666666666666,1,0,158,6,1,0.994,0,0,0,,CF
